Time,Type,Order,Size,Price,SL,TP,Profit,Balance
2000.01.03 02:50,t/p,1,0.89,1.01521,1.01082,1.01521,168.21,10168.21
2000.01.03 18:28,s/l,2,0.90,1.01900,1.01900,1.00440,-657.00,9511.21
2000.01.03 18:47,t/p,3,1.40,1.02121,1.00540,1.02121,280.00,9791.21
2000.01.04 12:32,t/p,4,0.86,1.03309,1.02130,1.03309,449.78,10240.99
2000.01.05 09:00,t/p,5,0.89,1.03700,1.02840,1.03700,260.77,10501.76
2000.01.06 18:27,s/l,6,0.91,1.03110,1.03110,1.04298,-834.47,9667.29
2000.01.06 18:33,t/p,7,1.41,1.02910,1.04150,1.02910,282.00,9949.29
2000.01.10 11:03,t/p,9,0.80,1.02447,1.03020,1.02447,114.40,10063.69
2000.01.10 11:29,t/p,8,0.87,1.02383,1.03250,1.02383,207.01,10270.70
2000.01.11 17:31,t/p,10,0.90,1.03235,1.02460,1.03235,164.70,10435.40
2000.01.12 09:00,t/p,11,0.91,1.03634,1.03190,1.03634,171.99,10607.39
2000.01.12 13:32,t/p,12,0.93,1.02920,1.03700,1.02920,232.50,10839.89
2000.01.14 01:51,t/p,13,0.95,1.02353,1.03160,1.02353,229.85,11069.74
2000.01.14 02:32,s/l,14,0.89,1.02680,1.02680,1.02184,-289.25,10780.49
2000.01.14 08:19,s/l,15,1.57,1.02350,1.02350,1.02901,-551.07,10229.42
2000.01.17 15:06,t/p,16,0.91,1.00760,1.01480,1.00760,325.78,10555.20
2000.01.19 08:56,s/l,18,0.86,1.01312,1.01312,1.01746,-215.00,10340.20
2000.01.19 11:32,t/p,19,1.36,1.01110,1.01650,1.01110,272.00,10612.20
2000.01.20 18:03,s/l,20,0.81,1.01440,1.01440,1.00661,-486.00,10126.20
2000.01.20 18:41,t/p,21,1.35,1.01642,1.00730,1.01642,270.00,10396.20
2000.01.20 18:41,t/p,17,0.94,1.01666,1.00720,1.01666,148.61,10544.81
2000.01.21 10:44,s/l,22,0.93,1.01520,1.01520,1.02151,-355.26,10189.55
2000.01.21 12:51,t/p,23,1.51,1.01320,1.01930,1.01320,302.00,10491.55
2000.01.24 02:50,s/l,24,0.94,1.00520,1.00520,0.99891,-235.00,10256.55
2000.01.24 07:39,s/l,25,1.53,1.00260,1.00260,1.00732,-416.16,9840.39
2000.01.25 05:25,t/p,26,0.88,1.00959,1.00532,1.00959,155.76,9996.15
2000.01.25 12:14,t/p,27,0.90,1.00205,1.00960,1.00205,225.00,10221.15
2000.01.27 08:12,s/l,28,0.92,1.00170,1.00170,0.99796,-230.00,9991.15
2000.01.27 13:21,s/l,30,1.34,0.99890,0.99890,1.00370,-375.20,9615.95
2000.01.27 13:38,close,29,0.42,0.99652,0.99852,0.98746,99.96,9715.91
2000.01.27 13:39,s/l,31,0.42,0.99632,0.99632,0.00000,108.36,9824.27
2000.01.28 07:55,s/l,32,0.90,0.98920,0.98920,0.98298,-225.90,9598.37
2000.01.28 08:49,s/l,33,1.46,0.98640,0.98640,0.99122,-411.72,9186.65
2000.01.31 19:12,t/p,34,0.85,0.96992,0.98290,0.96992,304.30,9490.95
2000.02.03 16:06,t/p,35,0.87,0.98091,0.96940,0.98091,220.18,9711.13
2000.02.03 16:59,t/p,36,0.81,0.98349,0.97100,0.98349,208.17,9919.30
2000.02.08 09:56,s/l,37,0.91,0.97970,0.97970,0.98442,-285.74,9633.56
2000.02.08 11:34,s/l,38,1.48,0.98420,0.98420,0.97740,-710.40,8923.16
2000.02.09 15:36,t/p,39,0.81,0.99442,0.98560,0.99442,240.57,9163.73
2000.02.11 12:46,t/p,40,0.84,0.98289,0.99620,0.98289,214.99,9378.72
2000.02.11 12:54,t/p,41,0.78,0.98001,0.98750,0.98001,230.10,9608.82
2000.02.14 11:00,t/p,43,0.81,0.99096,0.98530,0.99096,173.34,9782.16
2000.02.14 16:12,t/p,44,0.79,0.98205,0.99160,0.98205,237.00,10019.16
2000.02.14 17:30,s/l,42,0.88,0.97860,0.97860,0.99640,-786.70,9232.46
2000.02.15 13:32,t/p,45,1.42,0.97652,0.99160,0.97652,285.34,9517.81
2000.02.15 16:22,s/l,46,0.74,0.98150,0.98150,0.97430,-318.20,9199.61
2000.02.15 16:43,t/p,47,1.41,0.98367,0.97630,0.98367,282.00,9481.61
2000.02.17 10:15,t/p,48,0.87,0.98854,0.97900,0.98854,187.99,9669.59
2000.02.17 10:15,t/p,49,0.80,0.98988,0.98490,0.98988,158.40,9827.99
2000.02.22 01:12,s/l,51,0.83,0.99020,0.99020,0.98084,-542.08,9285.91
2000.02.22 01:13,t/p,52,0.66,0.99060,0.98702,0.99060,71.28,9357.19
2000.02.22 01:29,t/p,53,1.30,0.99220,0.98770,0.99220,260.00,9617.19
2000.02.22 01:41,close,54,0.36,0.99250,0.99050,1.00065,74.88,9692.07
2000.02.22 01:41,s/l,55,0.35,0.99270,0.99270,0.00000,79.80,9771.87
2000.02.22 09:23,s/l,50,0.90,0.99580,0.99580,0.97378,-988.35,8783.52
2000.02.22 09:35,t/p,56,1.32,0.99791,0.98870,0.99791,264.00,9047.52
2000.02.23 10:10,s/l,57,0.81,1.00380,1.00380,1.01299,-379.08,8668.44
2000.02.23 17:59,t/p,58,1.30,1.00180,1.00890,1.00180,260.00,8928.44
2000.02.24 09:21,t/p,59,0.80,0.99926,1.00420,0.99926,107.20,9035.64
2000.02.25 12:34,t/p,60,0.82,0.98517,0.99300,0.98517,271.42,9307.06
2000.02.28 04:25,t/p,61,0.86,0.96729,0.97460,0.96729,413.66,9720.72
2000.02.29 09:39,t/p,63,0.85,0.98114,0.96430,0.98114,290.70,10011.42
2000.03.02 16:15,s/l,65,0.85,0.96880,0.96880,0.98003,-681.70,9329.72
2000.03.02 16:46,t/p,66,1.30,0.96580,0.97930,0.96580,260.00,9589.72
2000.03.03 06:39,s/l,68,0.76,0.96600,0.96600,0.95730,-350.36,9239.36
2000.03.03 16:16,s/l,69,1.15,0.96070,0.96070,0.96802,-611.80,8627.56
2000.03.03 16:18,close,67,0.40,0.95952,0.96152,0.93420,87.58,8715.14
2000.03.03 16:22,s/l,70,0.40,0.96152,0.96152,0.93420,7.58,8722.72
2000.03.06 07:25,s/l,71,0.72,0.95887,0.95887,0.95371,-180.00,8542.72
2000.03.06 09:07,t/p,72,1.17,0.96102,0.95590,0.96102,234.00,8776.72
2000.03.07 18:24,t/p,73,0.72,0.95323,0.96240,0.95323,177.84,8954.56
2000.03.08 19:19,s/l,74,0.74,0.96170,0.96170,0.95016,-710.40,8244.16
2000.03.09 00:55,t/p,75,1.13,0.96382,0.95210,0.96382,219.30,8463.46
2000.03.09 03:43,s/l,76,0.70,0.96175,0.96175,0.96681,-175.00,8288.46
2000.03.09 09:19,s/l,77,1.13,0.96470,0.96470,0.95970,-339.00,7949.46
2000.03.13 09:56,t/p,78,0.65,0.97115,0.96260,0.97115,131.95,8081.41
2000.03.13 09:58,close,79,0.30,0.97200,0.97000,0.98126,62.10,8143.51
2000.03.13 10:04,s/l,80,0.30,0.97210,0.97210,0.00000,65.10,8208.61
2000.03.14 15:10,s/l,82,0.64,0.96550,0.96550,0.95903,-246.40,7962.21
2000.03.14 16:49,s/l,83,0.99,0.96060,0.96060,0.96762,-496.98,7465.23
2000.03.15 11:23,s/l,84,0.53,0.96600,0.96600,0.97161,-172.78,7292.45
2000.03.15 17:06,s/l,85,0.88,0.97010,0.97010,0.96389,-370.48,6921.97
2000.03.16 16:58,s/l,81,0.67,0.97300,0.97300,0.95152,-716.41,6205.56
2000.03.16 16:58,t/p,86,0.46,0.97315,0.96490,0.97315,75.44,6281.00
2000.03.20 11:21,s/l,88,0.43,0.97070,0.97070,0.97497,-112.66,6168.34
2000.03.20 17:21,t/p,90,0.59,0.96859,0.97460,0.96859,118.00,6286.34
2000.03.21 18:40,s/l,89,0.40,0.96840,0.96840,0.98408,-227.59,6058.75
2000.03.21 18:41,t/p,92,0.42,0.96694,0.97400,0.96694,23.52,6082.27
2000.03.21 18:50,s/l,87,0.76,0.96490,0.96490,0.97508,-626.18,5456.09
2000.03.22 00:47,t/p,91,0.60,0.95900,0.97460,0.95900,468.57,5924.65
2000.03.23 09:39,s/l,93,0.46,0.96020,0.96020,0.96447,-143.52,5781.13
2000.03.23 10:58,s/l,94,0.74,0.96330,0.96330,0.95815,-233.10,5548.03
2000.03.24 02:20,t/p,95,0.43,0.97604,0.97072,0.97604,121.26,5669.29
2000.03.24 15:04,t/p,96,0.44,0.96860,0.97620,0.96860,110.00,5779.29
2000.03.27 10:21,s/l,97,0.46,0.97580,0.97580,0.98117,-127.88,5651.41
2000.03.27 11:54,t/p,98,0.74,0.97370,0.97900,0.97370,148.00,5799.41
2000.03.29 00:13,t/p,99,0.45,0.95947,0.97020,0.95947,161.53,5960.94
2000.03.29 01:28,t/p,100,0.46,0.95623,0.96128,0.95623,117.30,6078.24
2000.03.29 16:23,s/l,101,0.47,0.95390,0.95390,0.96202,-264.14,5814.10
2000.03.29 17:03,t/p,102,0.74,0.95170,0.96030,0.95170,148.00,5962.10
2000.04.03 07:15,s/l,103,0.46,0.95100,0.95100,0.96325,-436.98,5525.12
2000.04.03 08:03,t/p,104,0.38,0.95051,0.95750,0.95051,83.22,5608.34
2000.04.03 14:24,s/l,105,0.68,0.95750,0.95750,0.94900,-442.00,5166.34
2000.04.03 16:17,s/l,106,0.35,0.95930,0.95930,0.93738,-297.50,4868.84
2000.04.04 18:56,t/p,109,0.29,0.96305,0.95150,0.96305,67.57,4936.41
2000.04.04 18:59,t/p,107,0.35,0.96480,0.95020,0.96480,254.11,5190.52
2000.04.04 19:04,t/p,108,0.55,0.96804,0.95100,0.96804,467.51,5658.03
2000.04.06 17:20,t/p,110,0.43,0.95662,0.96420,0.95662,115.67,5773.70
2000.04.07 08:54,s/l,111,0.44,0.95870,0.95870,0.95468,-110.00,5663.70
2000.04.07 14:33,s/l,112,0.72,0.95520,0.95520,0.96079,-258.48,5405.22
2000.04.10 02:47,s/l,113,0.40,0.95610,0.95610,0.95200,-100.00,5305.22
2000.04.10 13:43,t/p,114,0.66,0.95822,0.95340,0.95822,132.00,5437.22
2000.04.11 12:41,s/l,115,0.41,0.96055,0.96055,0.96527,-102.50,5334.72
2000.04.11 14:26,t/p,116,0.67,0.95850,0.96430,0.95850,134.00,5468.72
2000.04.11 17:52,s/l,117,0.42,0.95840,0.95840,0.96752,-257.04,5211.68
2000.04.12 13:00,t/p,118,0.64,0.95610,0.96490,0.95610,128.60,5340.29
2000.04.12 17:27,t/p,119,0.40,0.95415,0.96070,0.95415,62.00,5402.29
2000.04.14 14:57,s/l,120,0.40,0.96020,0.96020,0.95007,-331.22,5071.07
2000.04.14 22:42,t/p,121,0.63,0.96242,0.95100,0.96242,126.00,5197.07
2000.04.17 09:27,s/l,122,0.39,0.96382,0.96382,0.96979,-97.50,5099.57
2000.04.17 10:05,t/p,123,0.63,0.96170,0.96790,0.96170,126.00,5225.57
2000.04.18 01:46,s/l,124,0.38,0.94795,0.94795,0.94034,-95.00,5130.57
2000.04.18 07:21,t/p,125,0.62,0.95002,0.94530,0.95002,124.00,5254.57
2000.04.18 11:24,s/l,126,0.38,0.95080,0.95080,0.94270,-212.80,5041.77
2000.04.18 22:12,s/l,127,0.61,0.94520,0.94520,0.95302,-355.02,4686.75
2000.04.19 16:31,t/p,128,0.32,0.94209,0.94910,0.94209,51.52,4738.27
2000.04.19 16:46,t/p,64,0.77,0.94060,0.98720,0.94060,1830.48,6568.75
2000.04.19 16:54,s/l,62,0.90,0.94010,0.94010,1.00640,-3075.95,3492.80
